,realSum_wd,room_type,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,bedrooms,lng,lat,realSum_we,city,distance,metro_distance,biz_type,booking_days
16673,458.85,Entire home/apt,4.0,True,10.0,100.0,2,-0.01063,51.50844,457.44,london,8.1,0.8,multi,any day
16674,566.34,Entire home/apt,2.0,False,10.0,87.0,1,0.00609,51.50212,,london,9.3,0.2,biz,weekdays only
16675,758.95,Entire home/apt,4.0,False,10.0,100.0,2,0.00705,51.50191,,london,9.4,0.3,biz,weekdays only
16676,289.75,Entire home/apt,2.0,False,8.0,75.0,1,-0.07919,51.538340000000005,288.81,london,4.7,1.5,one,any day
16677,601.14,Entire home/apt,2.0,False,10.0,90.0,1,0.00805,51.50026,,london,9.5,0.3,biz,weekdays only
16678,343.85,Entire home/apt,2.0,False,10.0,90.0,0,-0.10966,51.51419,,london,1.4,0.4,multi,weekdays only
16679,142.29,Private room,2.0,False,8.0,84.0,1,-0.14256,51.5436,154.52,london,4.1,0.5,biz,any day
16680,346.43,Private room,2.0,False,4.0,40.0,1,-0.1141099999999999,51.52234,345.26,london,1.8,0.5,multi,any day
16681,290.93,Private room,2.0,False,10.0,98.0,1,-0.18198,51.49497,,london,4.1,0.1,biz,weekdays only
16682,391.59,Entire home/apt,2.0,False,7.0,70.0,1,-0.09103,51.48149,,london,3.9,1.3,biz,weekdays only
16683,462.85,Private room,3.0,False,6.0,60.0,2,-0.03628,51.50932,463.09,london,6.3,1.4,multi,any day
16684,557.16,Entire home/apt,2.0,False,10.0,100.0,1,0.0063,51.50155,534.58,london,9.3,0.2,biz,any day
16685,460.26,Entire home/apt,4.0,False,9.0,87.0,0,-0.14157,51.52251,479.55,london,1.9,0.2,biz,any day
16686,293.75,Entire home/apt,4.0,False,9.0,85.0,1,-0.01139,51.50823,408.76,london,8.1,0.7,one,any day
16687,161.57,Private room,3.0,False,9.0,95.0,1,-0.142,51.542,161.1,london,3.9,0.3,biz,any day
16688,99.72,Private room,2.0,False,9.0,84.0,1,-0.0807799999999999,51.47563,96.66,london,4.9,2.2,one,any day
16689,96.43,Private room,4.0,False,9.0,93.0,1,-0.02424,51.52125,,london,7.3,0.7,multi,weekdays only
16690,779.42,Entire home/apt,2.0,False,9.0,88.0,1,-0.1186599999999999,51.51134,931.82,london,0.7,0.3,biz,any day
16691,180.86,Private room,2.0,False,9.0,100.0,2,-0.08624,51.53551,180.39,london,4.2,1.1,multi,any day
16692,638.77,Entire home/apt,3.0,False,10.0,100.0,1,-0.1263,51.50951,613.37,london,0.2,0.2,biz,any day
16693,125.36,Private room,2.0,False,10.0,96.0,1,-0.04271,51.5062,125.59,london,5.9,1.0,one,any day
16694,129.12,Private room,2.0,False,7.0,98.0,1,-0.09971,51.46416,128.88,london,5.3,1.1,one,any day
16695,325.97,Entire home/apt,4.0,False,10.0,95.0,1,-0.24525,51.51295,324.8,london,8.2,0.5,one,any day
16696,294.69,Private room,2.0,False,10.0,100.0,1,-0.03596,51.5106,294.93,london,6.4,1.4,multi,any day
16697,700.39,Entire home/apt,4.0,True,10.0,70.0,2,-0.08359,51.52434,,london,3.5,0.3,biz,weekdays only
16698,144.64,Private room,2.0,False,10.0,98.0,1,-0.12863,51.47539,149.58,london,3.7,0.6,one,any day
16699,700.39,Entire home/apt,4.0,True,10.0,100.0,2,-0.08345,51.52537,,london,3.6,0.3,biz,weekdays only
16700,700.39,Entire home/apt,4.0,True,8.0,80.0,2,-0.08406,51.52332,,london,3.4,0.3,biz,weekdays only
16701,361.96,Entire home/apt,2.0,False,10.0,80.0,1,-0.09598,51.52787,360.78,london,3.1,0.7,one,any day
16702,196.38,Entire home/apt,2.0,False,7.0,70.0,1,0.01918,51.44066,195.91,london,12.7,6.8,multi,any day
16703,289.52,Entire home/apt,2.0,True,10.0,100.0,1,-0.20045,51.54417,,london,6.4,0.5,biz,weekdays only
16704,310.45,Entire home/apt,2.0,False,2.0,20.0,1,-0.01853,51.52462,309.27,london,7.8,0.5,multi,any day
16705,174.51,Private room,2.0,True,10.0,100.0,1,-0.02887,51.53849,173.8,london,7.6,1.3,multi,any day
16706,104.89,Private room,2.0,False,8.0,87.0,1,-0.00913,51.49826,,london,8.3,0.9,biz,weekdays only
16707,1157.13,Entire home/apt,5.0,False,10.0,100.0,2,-0.16201,51.49796,,london,2.7,0.4,biz,weekdays only
16708,616.67,Entire home/apt,4.0,True,10.0,80.0,1,-0.1370299999999999,51.5121,,london,0.8,0.3,biz,weekdays only
